perlin_value,selected_tile,x,y,collaped,possible_tiles
-0.3868477063263406,0,33,1,True,1
-0.3370316579669743,0,34,1,True,1
-0.2747932871997675,0,35,1,True,1
-0.20358153671133952,0,36,1,True,1
-0.12730689739544465,0,37,1,True,1
-0.050136608442894436,0,38,1,True,1
0.02372183412932851,13,39,1,True,2
0.37099357553200574,25,0,2,True,1
0.35626405201947825,26,1,2,True,2
0.34853698570608604,29,2,2,True,2
0.34842776667118613,8,3,2,True,2
0.3559029070978728,6,4,2,True,2
0.3702899242832564,30,5,2,True,2
0.3903570913050056,22,6,2,True,2
0.4144212127674395,27,7,2,True,1
0.44047274932095476,6,8,2,True,2
0.4663084138472067,6,9,2,True,2
0.4896621461658274,30,10,2,True,2
0.5083343717331267,1,11,2,True,1
0.5203099314609855,1,12,2,True,1
0.5238566632153426,1,13,2,True,1
0.5176029680838308,1,14,2,True,1
0.5005937565432828,1,15,2,True,1
0.4723249739131465,1,16,2,True,2
0.4327577087361697,1,17,2,True,2
0.38231369198302434,1,18,2,True,2
0.3218547992328909,8,19,2,True,2
0.25264997223727964,30,20,2,True,1
0.1763337805297762,-1,21,2,False,0
0.09486164799961956,14,22,2,True,2
0.010467573602400639,20,23,2,True,1
-0.07436476283142711,0,24,2,True,1
-0.15672723682740358,0,25,2,True,1
-0.23313922027129533,0,26,2,True,1
-0.29998034785522754,0,27,2,True,1
-0.35392791247724986,0,28,2,True,1
-0.39227794631142826,0,29,2,True,1
-0.4131633932897145,0,30,2,True,1
-0.41568199568507075,0,31,2,True,1
-0.3999456536907471,0,32,2,True,1
-0.3670623038937554,0,33,2,True,1
-0.31906080034171375,0,34,2,True,1
-0.25876887050115815,0,35,2,True,1
-0.18965395780229705,0,36,2,True,1
-0.11563665265982326,0,37,2,True,1
-0.0408862426976098,0,38,2,True,1
0.03039504552831838,5,39,2,True,2
0.4076305404917218,6,0,3,True,2
0.3955938898212962,6,1,3,True,2
0.39037200397450217,30,2,3,True,2
0.39242604875660403,28,3,3,True,1
0.4016767908575015,23,4,3,True,2
0.4174164600168338,29,5,3,True,2
0.4383882240045698,8,6,3,True,2
0.4628962291876219,30,7,3,True,2
0.4889327530376766,1,8,3,True,2
0.514312973146103,1,9,3,True,1
0.5368091952231375,1,10,3,True,1
0.5542776903102238,1,11,3,True,1
0.5647725690265963,1,12,3,True,1
0.5666423680910341,1,13,3,True,1
0.5586062341088648,1,14,3,True,1
0.53980780285509,1,15,3,True,1
0.5098460449099833,1,16,3,True,1
0.4687832893908845,1,17,3,True,2
0.4171320112076374,28,18,3,True,2
0.35582298807204354,23,19,3,True,2
0.2861582602855831,23,20,3,True,2
0.20975340858527772,29,21,3,True,3
0.12847335063361326,-1,22,3,False,0
